,TRACK_ID,FILENAME,BOUT_START,BOUT_END,PECKING,PECKING_FRAMES,MOULT,VIDEO_DURATION,BOUT_LENGTH,DATE,GROUP,TIME,GROUP_ID
129,423.0,20240805_1_00035.mp4,3672.0,3759.0,4,16.0,0.5657894736842105,164.16,88.0,20240805,1,8.416666666666666,cmra
130,425.0,20240805_1_00035.mp4,3675.0,3702.0,0,0.0,1.0,164.16,28.0,20240805,1,8.416666666666666,cmra
131,426.0,20240805_1_00035.mp4,3676.0,3703.0,1,3.0,0.8461538461538461,164.16,28.0,20240805,1,8.416666666666666,cmra
132,427.0,20240805_1_00035.mp4,3678.0,3704.0,0,0.0,0.4444444444444444,164.16,27.0,20240805,1,8.416666666666666,cmra
133,430.0,20240805_1_00035.mp4,3708.0,3833.0,3,21.0,0.8137254901960784,164.16,126.0,20240805,1,8.416666666666666,cmra
134,436.0,20240805_1_00035.mp4,3713.0,3737.0,0,0.0,0.52,164.16,25.0,20240805,1,8.416666666666666,cmra
135,443.0,20240805_1_00035.mp4,3746.0,3777.0,0,0.0,0.90625,164.16,32.0,20240805,1,8.416666666666666,cmra
136,444.0,20240805_1_00035.mp4,3765.0,3873.0,0,0.0,1.0,164.16,109.0,20240805,1,8.416666666666666,cmra
137,456.0,20240805_1_00035.mp4,3791.0,3808.0,0,0.0,0.8333333333333334,164.16,18.0,20240805,1,8.416666666666666,cmra
138,464.0,20240805_1_00035.mp4,3808.0,3813.0,0,0.0,0.8,164.16,6.0,20240805,1,8.416666666666666,cmra
139,465.0,20240805_1_00035.mp4,3816.0,4104.0,8,94.0,0.7065637065637066,164.16,289.0,20240805,1,8.416666666666666,cmra
140,470.0,20240805_1_00035.mp4,3875.0,3951.0,0,0.0,0.948051948051948,164.16,77.0,20240805,1,8.416666666666666,cmra
141,471.0,20240805_1_00035.mp4,3886.0,3886.0,0,0.0,1.0,164.16,1.0,20240805,1,8.416666666666666,cmra
142,472.0,20240805_1_00035.mp4,3889.0,3920.0,0,0.0,1.0,164.16,32.0,20240805,1,8.416666666666666,cmra
143,473.0,20240805_1_00035.mp4,3893.0,4020.0,0,0.0,0.984375,164.16,128.0,20240805,1,8.416666666666666,cmra
144,478.0,20240805_1_00035.mp4,3910.0,3910.0,0,0.0,1.0,164.16,1.0,20240805,1,8.416666666666666,cmra
145,480.0,20240805_1_00035.mp4,3924.0,3930.0,0,0.0,1.0,164.16,7.0,20240805,1,8.416666666666666,cmra
