,Videoname,Birds_per_video,Frames_per_video
409,20241223_training_01291,4,3
410,20241223_training_01294,2,2
411,20241223_training_01296,1,1
412,20241223_training_01301,1,1
413,20241223_training_01305,7,4
414,20241224_training_01311,5,5
415,20241224_training_01320,2,2
416,20241224_training_01330,5,5
417,20241224_training_01332,1,1
418,20241224_training_01333,22,14
419,20241224_training_01334,1,1
420,20241224_training_01344,1,1
421,20241224_training_01345,4,4
422,20241224_training_01347,4,3
423,20241224_training_01349,1,1
424,20241225_4_01373,1,1
425,20241225_4_01376,1,1
426,20241225_4_01380,1,1
427,20241225_4_01382,1,1
428,20241225_6_01384,22,14
429,20241225_6_01385,2,2
430,20241225_6_01386,1,1
431,20241225_6_01390,2,2
432,20241225_6_01392,2,2
433,20241225_8_01397,2,2
434,20241225_8_01398,1,1
435,20241225_8_01401,1,1
436,20241225_8_01407,3,3
437,20241225_training_01379,1,1
438,20241226_training_01411,1,1
439,20241226_training_01412,1,1
440,20241226_training_01416,8,8
441,20241226_training_01420,18,18
442,20241227_1_01424,1,1
443,20241227_1_01427,6,3
444,20241227_4_01439,5,5
445,20241227_5_01447,8,8
